Name,County,Sites,FullstreetAddress,House district,Senate district
Marshall's Crossing, Saginaw ,200,"12050 Trident Boulevard, Montrose, MI, 48457",97,26
Meadowbrook Manor Estates, Genesee ,401,"7280 West Mt. Morris Road, Flushing, MI, 48433",69,27
Camelot Villa, Macomb ,712,"17111 Hall Road, Macomb, MI, 48044",60,11
Cloverland Mobile Home Park, Ontonagon ,,"601 Garvey Street, Ironwood, MI, 49938",110,38
Ironwood Estates Mobile Home Community, Ontonagon ,,"N10356 Lake Rd, Ironwood, MI, 49938",110,38
Kristella's Mobile Home Park, Ontonagon ,,"402 Sunday Lake, Wakefield, MI, 49968",110,38
Evergreen Estates, Tuscola ,92,"2115 East Evergreen Dr., Caro, MI, 48723",97,25
Pipers Mobile Village, Ontonagon ,,"Trailer Court Road, White Pine, MI, 49971",110,38
King's Court, Leelanau ,639,"1585 Ray Blvd., Traverse City, MI, 49686",103,37
Cherrywood Village Farms, Wexford ,193,"2451 M-113 East, Kingsley, MI, 49649",104,37
Timber Ridge, Leelanau ,31,"4050 E Hammond Rd, Traverse City, MI, 49686",103,37
Evergreen Village, Gratiot ,183,"21 Evergreen Drive, Saint Louis, MI, 48880",92,34
Alma Mobile Home Park, Gratiot ,46,"315 Linwood Avenue, Alma, MI, 48801",92,34
Breckenridge Mobile Home Park, Gratiot ,46,"452 Elm Street, Breckenridge, MI, 48615",93,34
Nesen's Countryside Park, Gratiot ,77,"600 Cheesman Road, Saint Louis, MI, 48880",92,34
Scotsdale Estates, Gratiot ,189,"3382 Alma Drive, Alma, MI, 48801",92,34
Timber Country MHP, Gratiot ,32,"10401 West Monroe Road, Elwell, MI, 48832",92,34
